age,marital,balance,loan,contact,deposit
59,married,2343,no,unknown,yes
56,married,45,no,unknown,yes
41,married,1270,no,unknown,yes
55,married,2476,no,unknown,yes
54,married,184,no,unknown,yes
42,single,0,yes,unknown,yes
56,married,830,yes,unknown,yes
60,divorced,545,no,unknown,yes
37,married,1,no,unknown,yes
28,single,5090,no,unknown,yes
38,single,100,no,unknown,yes
30,married,309,no,unknown,yes
29,married,199,yes,unknown,yes
46,single,460,no,unknown,yes
31,single,703,no,unknown,yes
35,divorced,3837,no,unknown,yes
32,single,611,no,unknown,yes
49,married,-8,no,unknown,yes
41,married,55,no,unknown,yes
49,divorced,168,yes,unknown,yes
28,divorced,785,no,unknown,yes
43,single,2067,no,unknown,yes
43,divorced,388,no,unknown,yes
43,married,-192,no,unknown,yes
37,single,381,no,unknown,yes
35,single,40,no,unknown,yes
31,single,22,no,unknown,yes
43,single,3,no,unknown,yes
31,married,307,no,unknown,yes
28,single,759,no,unknown,yes
32,married,-1,no,unknown,yes
60,married,65,no,unknown,yes
26,single,82,no,unknown,yes
40,married,10,no,unknown,yes
33,divorced,390,no,unknown,yes
32,single,311,no,unknown,yes
35,married,414,no,unknown,yes
33,divorced,5,no,unknown,yes
38,married,119,no,unknown,yes
23,single,4,no,unknown,yes
60,married,1262,yes,unknown,yes
48,married,1949,no,unknown,yes
45,divorced,-395,no,unknown,yes
36,married,1165,no,unknown,yes
52,married,2240,no,unknown,yes
35,divorced,300,no,unknown,yes
43,married,3285,no,unknown,yes
52,married,3923,no,unknown,yes
53,divorced,1443,no,unknown,yes
48,divorced,24,no,unknown,yes
41,single,1618,no,unknown,yes
39,divorced,517,yes,unknown,yes
59,married,1521,yes,unknown,yes
41,married,2823,no,unknown,yes
48,married,1405,no,unknown,yes
40,married,1535,no,unknown,yes
48,married,1596,no,unknown,yes
60,married,1542,no,unknown,yes
40,single,3652,no,unknown,yes
57,married,-1,no,unknown,yes
51,married,7180,no,unknown,yes
41,divorced,5291,no,unknown,yes
41,married,1384,no,unknown,yes
52,divorced,-191,no,unknown,yes
59,married,320,no,unknown,yes
44,married,146,no,unknown,yes
49,married,341,yes,unknown,yes
40,married,-9,no,unknown,yes
41,married,-306,no,unknown,yes
44,married,4580,no,unknown,yes
60,single,313,no,unknown,yes
29,married,10576,no,unknown,yes
41,divorced,-233,no,unknown,yes
41,married,2453,no,unknown,yes
42,single,1364,no,unknown,yes
36,single,281,no,unknown,yes
39,married,94,yes,unknown,yes
31,single,144,no,unknown,yes
26,married,246,no,unknown,yes
31,married,92,no,unknown,yes
29,single,163,yes,unknown,yes
37,divorced,49,no,unknown,yes
33,single,-416,no,unknown,yes
24,single,409,no,unknown,yes
50,divorced,363,no,unknown,yes
27,single,3706,no,unknown,yes
54,single,4393,no,unknown,yes
30,single,863,no,unknown,yes
34,married,695,yes,unknown,yes
37,single,792,no,unknown,yes
41,single,1020,no,unknown,yes
47,married,863,no,unknown,yes
31,married,97,no,unknown,yes
31,married,754,no,unknown,yes
